State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Pennsylvania,1990,40.3,41.2,46.1,53.3,61.3,72.2,78,75.8,68,61.9,49.7,42.1,57.5
Pennsylvania,1991,35.1,40,46.1,55.5,70.8,75.7,79,78.9,69.5,58.8,47.2,39.6,58
Pennsylvania,1992,35.6,37.5,41.5,53.2,62.5,71.3,77.1,73.4,68.4,55.1,48,38.8,55.2
Pennsylvania,1993,38.2,31.9,39.8,54.2,66.4,74.4,81.4,78.8,69.6,58,49,38.3,56.7
Pennsylvania,1994,27.4,33.2,42.8,59.4,62.5,78,82.1,74.8,68.3,57.4,51.7,41.9,56.6
Pennsylvania,1995,38.2,31.5,47.2,54.5,64.3,74.3,81.5,79.8,70.4,61.3,43,31.5,56.5
Pennsylvania,1996,30.2,33.9,38.6,52.7,60.5,73,74.5,74.5,68.7,56.2,41.2,40.2,53.7
Pennsylvania,1997,32.5,40,44,51.3,59.4,71.1,77.5,73.8,67.1,57.3,44.3,38.5,54.7
Pennsylvania,1998,40.9,41.8,45.5,55.3,66.2,71.5,77.5,78,71.8,58.2,48.2,42,58.1
Pennsylvania,1999,35,37.9,42.4,53.5,63.9,72.9,81.1,77.4,69.9,56,50.9,39.9,56.7
Pennsylvania,2000,32.1,37.4,48,52.5,64.1,72.5,74,74,66.4,57.7,45.4,31.3,54.6
Pennsylvania,2001,32.5,37.3,41.1,54.8,64.7,75.2,75.4,79.8,68.4,59.1,52.9,43.7,57.1
Pennsylvania,2002,39.2,41.1,45.5,57.2,63.3,73.9,79.6,79.5,72.1,57.6,45.9,35.4,57.5
Pennsylvania,2003,28.5,29.9,44.9,52.6,60.5,71.3,78.7,78.2,70,55.9,50.7,36.8,54.8
Pennsylvania,2004,26.1,35.4,45.1,54.3,69.2,71.8,76.3,75,70.4,56.2,47.9,37.7,55.5
Pennsylvania,2005,31.8,36.1,39.5,55.3,59.6,74.8,78.9,79.6,73.8,58.7,49.3,34.4,56
Pennsylvania,2006,40.7,35.6,44.5,56.9,64.5,72.8,79.4,78.1,67.1,56.2,51.3,42.7,57.5
Pennsylvania,2007,38.2,27.9,43.7,50.8,66.1,73.8,77.3,77,72,64.5,45.7,37.6,56.2
Pennsylvania,2008,35.9,36.9,44.8,56.3,61.2,76.4,79.3,74.6,70.4,56.6,45.6,38.7,56.4
Pennsylvania,2009,29,37.1,43.6,55.6,65,71.1,75.9,78.2,68,56.4,50.9,36.4,55.6
Pennsylvania,2010,33.2,31.8,48.3,58.4,67.5,78.2,81.7,79,72.9,59,48.2,32.7,57.6
Pennsylvania,2011,29.3,37.2,44.1,56.8,67.4,75.4,82.4,76.1,71.1,57.7,51.3,43.3,57.7
Pennsylvania,2012,37.9,40.9,52.2,55.6,68.2,73.6,81.8,78.6,70.3,59.4,44.2,43.1,58.8
Pennsylvania,2013,36.4,35.1,41.2,54.8,64.8,74.6,80.6,74.6,68,60.6,45.5,38.7,56.2
Pennsylvania,2014,28.3,32.1,38.9,53.8,65.4,74.5,78,74.7,70.5,59.9,45.2,41.1,55.2
Pennsylvania,2015,30.9,25.8,39.1,55.4,70.1,74.8,79.2,79,74.5,58.5,53.2,51.2,57.6
Pennsylvania,2016,34.2,38.6,51,54.5,63,74.2,81.2,81,73.5,60.4,50,38.8,58.4
Pennsylvania,2017,38.5,44.2,42.1,59.5,63.1,74.6,79.3,75.3,71.4,64.1,47.5,36.1,58
Pennsylvania,2018,32.8,41.9,40.1,50.4,67.7,72.7,78.9,79,72.5,58.9,43.7,40.3,56.6
Pennsylvania,2019,33.3,37.1,42.8,59,66.4,73.9,80.9,77.8,72.5,61.2,43.2,38.7,57.2
Pennsylvania,2020,38.9,40.8,48.9,51.6,61.4,75,81.9,78.1,69.4,59.6,52.2,38.7,58
Pennsylvania,2021,35.7,34.2,47.4,55.6,64.1,75.1,78.9,79.2,71.6,64,46.7,45.3,58.2
Pennsylvania,2022,32.4,39.7,47.8,54,67.5,74.4,82.1,81.3,72.1,57.2,50.9,37.8,58.1
Vermont,1900,22.7,22.6,23.2,44.9,55.2,69.2,72.6,70.7,63.8,55.8,39.5,24.8,47.1
Vermont,1901,M,16.6,28.8,46.4,58.4,69.2,73.8,70.7,63.5,M,M,26.1,50.4
Vermont,1902,19.1,21.5,38,47.7,55.1,63.2,69.8,66.3,63.1,48.6,42.3,22.2,46.4
Vermont,1903,21.9,24.7,40,46,61.8,64.5,70.3,64.3,64.1,51.3,35.9,20.7,47.1
Vermont,1904,13.7,12.5,29.3,43.3,60.9,65.6,69.1,66.7,58,47.9,34.4,16,43.1
Vermont,1905,16.8,17.6,31.9,43.7,56.5,63.7,70,66,60.8,51.4,37.5,28.3,45.3
Vermont,1906,31,22.7,26.4,41.3,52.2,63.4,67.9,68.9,60,48,33.6,17.2,44.4
Vermont,1907,15.2,11.4,30.6,37.7,47.9,63.5,68.1,63.6,59.5,43.1,34.9,27,41.9
Vermont,1908,17.5,14.3,28.4,38.6,57.1,64.2,71.6,66,63,50.3,37.7,21.4,44.2
Vermont,1909,18.6,19.9,26.8,39.7,52.6,64.4,66.3,65.2,58.1,46.1,38.4,21.3,43.1
Vermont,1910,20.5,16.1,35.4,47.3,53.2,61.8,69.1,65.2,56.5,47.8,33.5,15.9,43.5
Vermont,1911,19.1,14.7,24,40.2,62.5,62.9,72.5,68.5,56.4,46.7,34,31,44.4
Vermont,1912,8.2,15.3,21.9,40.6,54.4,59.9,68.3,62.3,57.8,49.8,37.2,29,42.1
Vermont,1913,27.8,15.9,32,44.9,52.5,62.1,68.5,66.6,56.7,51.5,40.1,27,45.5
Vermont,1914,14.8,10.1,28.9,38.2,57.2,62.2,66.6,66,58,50.1,33.9,21.2,42.3
Vermont,1915,21.9,23.7,25.5,48.3,51.1,62.7,67.6,65.1,62.6,50.3,38.1,25.1,45.2
Vermont,1916,23.2,14.6,20.7,43.1,53.9,60.9,71.3,69.1,60.2,48.2,34.3,21.6,43.4
Vermont,1917,16.1,11.7,28.5,39.8,47,62.7,70.9,68.5,56.7,44.8,30,12.2,40.7
Vermont,1918,9,15.2,27.8,42.5,58.8,59.9,69,66.4,54.6,49,36.6,25.5,42.9
Vermont,1919,23,21.6,31.3,39.5,54.8,66.9,69.7,65,58.3,47.8,34.6,17.2,44.1
Vermont,1920,6.4,16.5,31,40.1,54.1,63.3,66.7,69.3,60.4,52.7,32.8,25.3,43.2
Vermont,1921,21.4,21.8,36.8,47.3,57.5,64.1,75.3,66.1,62.7,48.2,32.6,20.3,46.2
Vermont,1922,15,21,31.9,42.8,57.5,65,68.2,66.1,60.5,46.9,37.1,21.9,44.5
Vermont,1923,12.6,12,22,40.3,51.6,63.8,65.7,64.8,59.7,48.5,37,31.8,42.5
Vermont,1924,20.9,12,30.4,41.1,50.5,61.7,68,66.9,57.3,48.3,37.7,19.7,42.9
Vermont,1925,12.2,26.9,34.7,42.6,50.3,66,66,66.6,57.6,40.5,35.8,23.8,43.6
Vermont,1926,19.7,14.7,22.5,36.5,51.3,59.7,66.6,66,57.8,46.4,36.6,18.3,41.3
Vermont,1927,18.3,22.3,33.7,42.9,51.8,60.2,68.4,64.1,59.4,51.1,39.4,25.9,44.8
Vermont,1928,21.6,19.8,27.5,39.8,54.1,62.3,69.9,70.1,56,49.6,36.4,30.1,44.8
Vermont,1929,18.3,18.9,32.8,42.6,54,64.5,67.4,63.4,60.7,46.9,36.6,20.5,43.9
Vermont,1930,20.2,20.9,28.7,40.7,56,68.9,66.8,65.6,61.6,48.1,38.9,24.6,45.1
Vermont,1931,15.9,18.6,32.5,45.7,56.4,63.4,72.1,66.6,62.4,51.5,42.7,26.4,46.2
Vermont,1932,29.7,21.6,25.2,39.5,55.8,63.9,66.4,68.5,60.2,50.7,33.3,29.4,45.3
Vermont,1933,29.1,23.9,26.5,43.9,55.8,66.5,69.5,66.8,60.9,46.3,27.8,16.2,44.4
Vermont,1934,16.5,5.6,27.2,43.6,56.8,65.4,70.1,64.7,63.5,44.9,39.2,17.4,42.9
Vermont,1935,12.1,16.6,29.6,41.4,50.5,64.1,71.4,67.9,56.6,49,38.2,18.2,43
Vermont,1936,15.2,13.6,36.6,41.3,57.4,64.6,67.6,65.8,58.8,47.9,31.1,25.6,43.8
Vermont,1937,27.6,25.6,23.8,41.7,57,64.5,71.1,72,59.4,47.6,37.8,21.9,45.8
Vermont,1938,17.2,22.1,31.3,44.6,54,66.8,69.9,70.1,55.3,49.6,38.1,26,45.4
Vermont,1939,16.8,20,24,38,54.8,63.4,69.6,70.8,59.4,47.6,32.1,23.3,43.3
Vermont,1940,11.6,17.2,24.8,39.2,56,62.5,68.4,66.1,58.3,44.7,35.5,23.5,42.3
Vermont,1941,13.4,20.6,23.8,48.1,55.3,66.7,70.5,64.2,60.1,47,39.3,25.9,44.6
Vermont,1942,17.8,16.5,35.4,45.5,59.1,65.1,68.4,66.6,59.3,49.3,36.3,19.1,44.9
Vermont,1943,13.2,20.6,27.5,36.3,54.1,67.2,70.3,67.5,58.4,47.9,35,19,43.1
Vermont,1944,20.6,16.6,25.4,38.7,62.1,65.1,72.1,72.1,60.7,46.4,37.3,19.6,44.7
Vermont,1945,9.9,20.2,39.6,49.6,52.2,65.6,70,69.4,62.6,46.8,37.6,19.3,45.2
Vermont,1946,19.2,16,39.9,42,53.7,64.8,68.5,65,62.4,52.3,39.7,25.7,45.8
Vermont,1947,20.8,16.3,30.3,40.6,54.1,63.6,72.6,73.1,61.8,56.4,34.2,19.1,45.2
Vermont,1948,12.4,14.9,27.7,43.9,54,63.8,71.1,70,61.7,46.3,44.4,28.6,44.9
Vermont,1949,25,23.9,31,45.1,56.5,71.9,73.8,71,59.2,53.2,33.3,28.4,47.7
Vermont,1950,26.4,16.9,23.5,40.2,56.4,67.1,69.9,66.5,55.1,50.5,40.2,24.6,44.8
Vermont,1951,22.3,22.5,32.5,44.8,55.9,64.1,69.9,65.2,59.8,50.1,32.7,25,45.4
Vermont,1952,20.8,24.2,29.9,45.9,51.8,65.6,73.1,69,61.6,45.6,39.6,26.8,46.2
Vermont,1953,24.6,25.5,34,43.8,57.9,67.2,71.1,67.3,60.2,49.3,42.3,31.4,47.9
Vermont,1954,12.8,27.1,29.7,43.4,54.6,65.3,67.3,65.1,57.8,51.7,38.1,23.1,44.7
Vermont,1955,16.1,20.1,28.3,46.2,60.3,66.7,73.7,71.3,58,50.7,35.5,16.6,45.3
Vermont,1956,19.5,22.9,23.7,40.8,49.9,64.9,66.5,66.7,55.9,49.3,37.9,26.2,43.7
Vermont,1957,11.7,25,31.4,45.4,54,68.2,68.4,64.1,60.9,48.6,39.3,29.6,45.6
Vermont,1958,19.5,12.9,32.6,45.4,51.8,59.7,68.9,68,59,47.2,37.8,13,43
Vermont,1959,17.1,13.8,27.8,45,58.2,65.5,72.5,71.3,63.3,47.9,35.1,26,45.3
Vermont,1960,16.5,24.5,23.9,43.9,60.9,64.7,66.9,66,59.5,45.3,39.2,19.7,44.3
Vermont,1961,9.2,18.6,26.5,38.5,51.1,63.5,68.2,66.8,65.4,49.6,36.5,23.9,43.2
Vermont,1962,15.5,13.6,29,41.9,55.7,64.6,64,65.5,55.7,46.3,31.6,20.1,42
Vermont,1963,16.6,10.7,25.9,40.3,52.3,65.5,70.3,62.5,53.5,51.7,40.3,12.9,41.9
Vermont,1964,21.9,17.2,31,42.3,58.6,63,69.6,62.9,55.8,45.3,35.7,24.8,44
Vermont,1965,13.6,19.9,27.3,39.3,57.2,62.9,65.1,66,58.7,46.8,32.9,28.5,43.2
Vermont,1966,15.4,17.9,30.2,41.2,51.1,65.3,69.6,67.4,55.6,47,40.6,23.4,43.7
Vermont,1967,23.9,11.7,25.3,40.7,47.6,67.6,70,67,58,48.8,32.9,25.5,43.3
Vermont,1968,8.4,11,29.6,46.1,51.7,60.8,68.7,63.7,61,49.8,32.2,17.9,41.7
Vermont,1969,16.5,18.5,24.2,41.4,51.2,64.1,67.7,68.5,57.9,45.8,36.3,18.6,42.6
Vermont,1970,3.6,16.8,25.8,42.6,54.1,63.7,70.6,68.4,60.1,50.5,39,14.3,42.5
